geometry,GEOMETRY_SCHOOL
"POLYGON((-76.8398110488009 0.580576047002061, -76.8235467588562 0.678787770709814, -76.8421403795079 0.722468491293115, -76.8547912511567 0.752423915187034, -76.8821946248533 0.738983631745402, -76.9523678407157 0.704567066437587, -76.9455866535655 0.662333424886033, -76.9158063563337 0.666401811039672, -76.9109637275303 0.627258309935607, -76.9061970727011 0.588717791032898, -76.8601037223327 0.583064926788327, -76.8398110488009 0.580576047002061))",POINT(-76.880555556 0.6775)
"POLYGON((-76.8398110488009 0.580576047002061, -76.8235467588562 0.678787770709814, -76.8421403795079 0.722468491293115, -76.8547912511567 0.752423915187034, -76.8821946248533 0.738983631745402, -76.9523678407157 0.704567066437587, -76.9455866535655 0.662333424886033, -76.9158063563337 0.666401811039672, -76.9109637275303 0.627258309935607, -76.9061970727011 0.588717791032898, -76.8601037223327 0.583064926788327, -76.8398110488009 0.580576047002061))",POINT(-76.880555556 0.6775)
"POLYGON((-72.6509023073303 4.44733769090508, -72.6889299390793 4.4039311744986, -72.6816722290928 4.39752590855032, -72.661172892934 4.3794335043917, -72.6532443524913 4.3724355836976, -72.615217430459 4.41584015401566, -72.6213136020509 4.42122123810843, -72.6456636063537 4.44271393246044, -72.6509023073303 4.44733769090508))",POINT(-72.649437 4.441126)
"POLYGON((-72.6509023073303 4.44733769090508, -72.6889299390793 4.4039311744986, -72.6816722290928 4.39752590855032, -72.661172892934 4.3794335043917, -72.6532443524913 4.3724355836976, -72.615217430459 4.41584015401566, -72.6213136020509 4.42122123810843, -72.6456636063537 4.44271393246044, -72.6509023073303 4.44733769090508))",POINT(-72.649437 4.441126)
"POLYGON((-72.6509023073303 4.44733769090508, -72.6889299390793 4.4039311744986, -72.6816722290928 4.39752590855032, -72.661172892934 4.3794335043917, -72.6532443524913 4.3724355836976, -72.615217430459 4.41584015401566, -72.6213136020509 4.42122123810843, -72.6456636063537 4.44271393246044, -72.6509023073303 4.44733769090508))",POINT(-72.649437 4.441126)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.870966088 6.956508749)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.870966088 6.956508749)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.870966088 6.956508749)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.870966088 6.956508749)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.879475261 6.965496836)
"POLYGON((-71.8254413093004 7.04615821175196, -71.8459062367491 7.01827616601719, -71.8503631143636 7.01220326885276, -71.9217398461191 6.94970449792248, -71.8501585325705 6.88698847102687, -71.7954962323701 6.93453298382764, -71.7903984724562 6.92599637091492, -71.7457963922755 6.97973246497849, -71.8199916084516 7.0416138735517, -71.8251635493848 7.04592659931104, -71.8254413093004 7.04615821175196))",POINT(-71.879475261 6.965496836)
